endTime,artistName,trackName,msPlayed
2019-07-19 01:37:00,Ludwig van Beethoven,"Beethoven: Symphony No. 7 in A Major, Op. 92: I. Poco sostenuto - Vivace",384724
2019-07-19 01:51:00,Gustav Mahler,Symphony No. 9 in D Major: I. Andante comodo,810540
2019-07-19 01:55:00,Kyson,You,236719
2019-07-19 02:00:00,Fink,Looking Too Closely,310693
2019-07-19 02:02:00,Fossil Collective,Disarm,96832
2019-07-19 03:13:00,Sergei Rachmaninoff,"Vocalise, Op. 34, No. 14",290040
2019-07-19 03:15:00,César Franck,"Violin Sonata in A Major, FWV 8: IV. Allegretto poco mosso",39410
2019-07-19 03:15:00,Gabriel Fauré,"Après un rêve, Op. 7, No. 1",77728
2019-07-19 03:19:00,Deerhunter,Ad Astra,127990
2019-07-19 03:37:00,Jacques,Endless Cultural Turnover,535727
2019-07-19 03:41:00,Sam Gellaitry,Viewfinder,265531
2019-07-19 03:45:00,Amon Tobin,On a Hilltop Sat the Moon,216892
2019-07-19 03:52:00,Hotel Silk,Step,431196
2019-07-19 04:01:00,Woodkid,Standing On The Horizon (feat. Moses Sumney),539493
2019-07-19 04:06:00,A. Kanyakumari,Brochevarevarurar,328066
2019-07-19 04:12:00,A.R. Rahman,Munbe Vaa,356941
2019-07-19 04:18:00,Alpha S,Cartucho,342352
2019-07-19 04:23:00,2080,Toco Toco,326000
2019-07-19 04:27:00,Mort Garson,Music to Soothe the Savage Snake Plant,203301
2019-07-19 04:28:00,Oneohtrix Point Never,Love In The Time Of Lexapro,62990
2019-07-19 10:45:00,King Crimson,21st Century Schizoid Man,4964
2019-07-19 10:45:00,A. Kanyakumari,Brochevarevarurar,328066
2019-07-19 10:49:00,Pink Floyd,Atom Heart Mother,201016
2019-07-19 10:56:00,A.R. Rahman,Munbe Vaa,356941
2019-07-19 11:00:00,Lemon Jelly,Soft,275906
2019-07-19 11:03:00,Jimmy Durante,"Smile (From United Artists Film ""Modern Times"")",177533
2019-07-19 11:07:00,Vishal Dadlani,"Mar Jayian Romantic (From ""Vicky Donor"")",2588
2019-07-19 11:07:00,The Local Train,Dilnawaz,207530
2019-07-19 11:12:00,Palash Sen,Phir Dhoom,303426
2019-07-19 11:15:00,Cage The Elephant,Cigarette Daydreams,208760
2019-07-19 11:18:00,Dream Theater,Wait for Sleep,151866
2019-07-19 11:22:00,Khruangbin,Lady and Man,258044
2019-07-19 11:31:00,Anouar Brahem,The Astounding Eyes Of Rita,521880
2019-07-19 11:37:00,Elsiane,Death of the Artist,388113
2019-07-19 12:31:00,Lucky Ali,Tanhai Mein Basi,467562
2019-07-19 12:33:00,Sting,Desert Rose,119296
2019-07-19 13:22:00,Sting,Desert Rose,19877
2019-07-19 13:28:00,GZA,Shadowboxin',0
2019-07-19 13:28:00,Indian Ocean,Kaun,324140
2019-07-19 13:28:00,Disclosure,Help Me Lose My Mind,0
2019-07-19 13:29:00,Shankar Mahadevan,Der Lagi Lekin,0
2019-07-19 13:29:00,Lookas,Alarm,0
2019-07-19 13:29:00,Lata Mangeshkar,"Ajib Dastan Hai Yeh (From ""Dil Apna Aur Preet Parai"")",0
2019-07-19 13:29:00,Indian Ocean,Kaun,0
2019-07-19 13:29:00,Lookas,Alarm - WE ARE FURY Remix,5331
2019-07-19 13:29:00,Pankaj Udhas,Ahista,25680
2019-07-19 13:36:00,Indian Ocean,Kaun,413450
2019-07-19 13:40:00,Ankur Tewari,Wagairah Wagairah,217626
2019-07-19 13:45:00,Nusrat Fateh Ali Khan,"My Heart, My Life",331293
2019-07-19 13:53:00,Indian Ocean,Bharam Paap ke,363183
2019-07-19 13:56:00,Indian Ocean,Bharam Paap ke,153631
2019-07-19 14:04:00,Shankar Mahadevan,Der Lagi Lekin,355915
2019-07-19 14:10:00,Prateek Kuhad,Tune Kaha,216885
2019-07-19 14:13:00,Sachin-Jigar,Saibo,195253
2019-07-19 14:17:00,Mohit Chauhan,Phir Se Ud Chala,268833
2019-07-19 14:22:00,Rashid Ali,Kahin To,303206
2019-07-19 14:23:00,Ajay-Atul,Shree Ganeshay Dheemahi,60986
2019-07-19 14:27:00,Prateek Kuhad,Tum Jab Paas,235932
2019-07-19 14:34:00,Indian Ocean,Ma Rewa,398466
2019-07-19 14:40:00,Pritam,Dil Ibaadat,329386
2019-07-19 14:47:00,Amit Trivedi,Khari Khari,438013
2019-07-19 14:51:00,The Local Train,Choo Lo,233630
2019-07-19 14:57:00,A.R. Rahman,Yeh Haseen Vadiyan Yeh Khula Aasman,16753
2019-07-19 14:57:00,KK,Pyaar Ke Pal,359373
2019-07-19 15:01:00,Lucky Ali,Kitni Haseen Zindagi,255160
2019-07-19 15:09:00,Noori,Saari Raat,444000
2019-07-19 15:13:00,Farida Khanum,Aaj Jane Ki Zid Na Karo,22333
2019-07-19 16:32:00,Farida Khanum,Aaj Jane Ki Zid Na Karo,95462
2019-07-19 16:37:00,Agnee,Sadho Re,251560
2019-07-19 16:42:00,Mohit Chauhan,Tum Se Hi,321225
2019-07-19 16:45:00,Dominique Cerejo,Sooraj Ki Baahon Mein,202919
2019-07-19 16:51:00,Ankur Tewari,"Dil Beparvah - The Dewarists, Season 5",1775
2019-07-19 16:51:00,Nusrat Fateh Ali Khan,Yeh Jo Halka Halka Suroor Hai,346337
2019-07-19 16:51:00,Rahat Fateh Ali Khan,"Tere Bin (From ""Simmba"")",3645
2019-07-19 16:56:00,Anoushka Shankar,Naked,256946
2019-07-19 17:00:00,Monty Sharma,Jab Se Tere Naina,284573
2019-07-19 17:06:00,Kailash Kher,"Teri Deewani (From ""Kailasa"")",323520
2019-07-19 17:08:00,Lata Mangeshkar,"Lag Ja Gale Se Phir (From ""Woh Kaun Thi"")",112968
2019-07-19 17:14:00,Vishal Bhardwaj,Bekaraan,385986
2019-07-19 17:20:00,Asha Bhosle,In Ankhon Ki Masti,343453
2019-07-19 17:40:00,Shreya Ghoshal,"O Saathi Re (From ""Omkara"")",328480
2019-07-19 17:44:00,Ankur Tewari,Aajao,269040
2019-07-19 17:52:00,Indian Ocean,Bandeh,468600
2019-07-19 17:57:00,Prateek Kuhad,Raat Raazi,286956
2019-07-19 17:58:00,Mehdi Hassan,Ranjish Hi Sahi,84311
2019-07-19 18:02:00,The Lumineers,It Wasn't Easy To Be Happy For You,214066
2019-07-19 18:07:00,Jadu Heart,The Omen,287500
2019-07-19 18:10:00,Tourist,Bunny,214851
2019-07-19 18:14:00,Alesso,Sad Song (feat. TINI) (Alesso Remix),214385
2019-07-19 18:16:00,Tove Lo,Glad He's Gone - Major Lazer Remix,157709
2019-07-19 18:19:00,Kim Viera,Ay Ay Ay (feat. Pitbull),172986
2019-07-19 18:22:00,Bishop Briggs,CHAMPION,173146
2019-07-19 18:26:00,Ezra Furman,I Wanna Be Your Girlfriend,209160
2019-07-19 18:29:00,Ina Wroldsen,Forgive or Forget - R3HAB Remix,183307
2019-07-19 18:31:00,Akon,Wakonda,148163
2019-07-19 18:35:00,AK,Beyond the Surface,198297
2019-07-19 18:38:00,Ed Sheeran,BLOW (with Chris Stapleton & Bruno Mars),209120
2019-07-19 18:40:00,Guustavv,Jazzy Winter,130923
2019-07-19 18:44:00,KSHMR,My Best Life (feat. Mike Waters),212285
2019-07-19 19:19:00,Sid Sriram,"Thaarame Thaarame - From ""Kadaram Kondan""",47975
2019-07-20 01:54:00,Sid Sriram,"Thaarame Thaarame - From ""Kadaram Kondan""",22360
2019-07-20 05:30:00,Sid Sriram,"Thaarame Thaarame - From ""Kadaram Kondan""",158011
2019-07-20 05:33:00,Joyner Lucas,10 Bands,73380
2019-07-20 06:21:00,Joyner Lucas,10 Bands,9280
2019-07-20 06:23:00,Joyner Lucas,10 Bands,134236
2019-07-20 06:26:00,Venomenal,What's It Gonna Be,184638
2019-07-20 06:31:00,Rohan Rohan,"Anolkhi - From ""Smile Please""",315180
2019-07-20 06:35:00,RY X,Body Sun - Claptone Remix / Edit,205827
2019-07-20 06:35:00,Anirudh Ravichander,"Kadhal Psycho (From ""Saaho"")",11106
2019-07-20 06:35:00,Ranveer Singh,Choli Kasale Bani,4864
2019-07-20 06:38:00,Florence + The Machine,My Best Dress - Demo,154586
2019-07-20 06:38:00,Mubashira Mataali Group,Emaali Ya Bamulekwa (Orphan's Property),6036
2019-07-20 06:40:00,Lorn,DROWN THE TRAITOR WITHIN,114360
2019-07-20 06:42:00,Anupam Roy,"Bishonno Chimney (From ""Bornoporichoy"")",127222
2019-07-20 06:42:00,OneRepublic,Rescue Me - Acoustic,4165
2019-07-20 06:43:00,Kygo,Not Ok - Frank Walker Remix,78842
2019-07-20 06:46:00,Flux Pavilion,Somebody Else,134860
2019-07-20 06:50:00,CYPHR,Nautilus,246400
2019-07-20 06:52:00,Scott Gilmore,E70 No. 01,162940
2019-07-20 06:55:00,Arca,Maiden Voyage,156165
2019-07-20 07:00:00,Wintersleep,Night In Dream City,243694
2019-07-20 07:02:00,Hudson Mohawke,Brainwave,136701
